tanggal,harga
2020-01-01,7.75
2020-01-02,7.75
2020-01-03,7.725
2020-01-06,7.6
2020-01-07,7.6
2020-01-08,7.5
2020-01-09,7.7
2020-01-10,7.725
2020-01-13,7.725
2020-01-14,7.75
2020-01-15,7.65
2020-01-16,7.55
2020-01-17,7.725
2020-01-20,7.625
2020-01-21,7.7
2020-01-22,7.8
2020-01-23,7.775
2020-01-24,7.925
2020-01-27,7.725
2020-01-28,7.75
2020-01-29,7.8
2020-01-30,7.65
2020-01-31,7.55
2020-02-03,7.5
2020-02-04,7.525
2020-02-05,7.7
2020-02-06,7.7
2020-02-07,7.725
2020-02-10,7.725
2020-02-11,7.775
2020-02-12,7.8
2020-02-13,7.85
2020-02-14,7.825
2020-02-17,7.85
2020-02-18,7.825
2020-02-19,7.95
2020-02-20,8.0
2020-02-21,7.9
2020-02-24,7.775
2020-02-25,7.8
2020-02-26,7.65
2020-02-27,7.35
2020-02-28,7.275
2020-03-02,6.95
2020-03-03,7.2
2020-03-04,7.475
2020-03-05,7.6
2020-03-06,7.25
2020-03-09,6.575
2020-03-10,6.875
2020-03-11,6.825
2020-03-12,6.425
2020-03-13,6.35
2020-03-16,5.925
2020-03-17,5.525
2020-03-18,5.15
2020-03-19,4.79
2020-03-20,4.46
2020-03-23,4.15
2020-03-24,3.86
2020-03-25,3.86
2020-03-26,4.47
2020-03-27,4.94
2020-03-30,4.6
2020-03-31,4.68
2020-04-01,4.61
2020-04-02,4.75
2020-04-03,5.025
2020-04-06,5.2
2020-04-07,5.125
2020-04-08,4.77
2020-04-09,4.67
2020-04-10,4.67
2020-04-13,4.47
2020-04-14,4.57
2020-04-15,4.4
2020-04-16,4.21
2020-04-17,4.38
2020-04-20,4.37
2020-04-21,4.35
2020-04-22,4.49
2020-04-23,4.5
2020-04-24,4.28
2020-04-27,4.15
2020-04-28,4.15
2020-04-29,4.0
2020-04-30,4.46
2020-05-01,4.46
2020-05-04,4.29
2020-05-05,4.22
2020-05-06,4.16
2020-05-07,4.16
2020-05-08,4.2
2020-05-11,4.23
2020-05-12,4.01
2020-05-13,4.01
2020-05-14,3.95
2020-05-15,3.76
2020-05-18,3.72
2020-05-19,3.86
2020-05-20,4.07
2020-05-21,4.07
2020-05-22,4.07
2020-05-25,4.07
2020-05-26,4.1
2020-05-27,4.11
2020-05-28,4.29
2020-05-29,4.47
2020-06-01,4.47
2020-06-02,4.62
2020-06-03,4.86
2020-06-04,4.73
2020-06-05,4.85
2020-06-08,5.25
2020-06-09,5.275
2020-06-10,4.91
2020-06-11,4.69
2020-06-12,4.89
2020-06-15,4.89
2020-06-16,5.025
2020-06-17,4.9
2020-06-18,4.82
2020-06-19,4.88
2020-06-22,4.81
2020-06-23,4.79
2020-06-24,5.15
2020-06-25,5.025
2020-06-26,5.0
2020-06-29,4.94
2020-06-30,4.95
2020-07-01,4.99
2020-07-02,5.0
2020-07-03,5.0
2020-07-06,5.075
2020-07-07,5.05
2020-07-08,5.275
2020-07-09,5.25
2020-07-10,4.72
2020-07-13,5.25
2020-07-14,5.175
2020-07-15,5.275
2020-07-16,5.275
2020-07-17,5.175
2020-07-20,5.1
2020-07-21,5.1
2020-07-22,5.3
2020-07-23,5.7
2020-07-24,5.6
2020-07-27,5.425
2020-07-28,5.85
2020-07-29,5.875
2020-07-30,5.8
2020-07-31,5.8
2020-08-03,5.5
2020-08-04,5.575
2020-08-05,5.7
2020-08-06,5.7
2020-08-07,5.7
2020-08-10,5.8
2020-08-11,5.8
2020-08-12,6.15
2020-08-13,6.05
2020-08-14,6.025
2020-08-17,6.025
2020-08-18,6.15
2020-08-19,6.1
2020-08-20,6.1
2020-08-21,6.1
2020-08-24,6.0
2020-08-25,6.25
2020-08-26,6.35
2020-08-27,6.3
2020-08-28,6.3
2020-08-31,5.95
2020-09-01,6.225
2020-09-02,6.075
2020-09-03,5.975
2020-09-04,5.925
2020-09-07,5.925
2020-09-08,5.85
2020-09-09,5.775
2020-09-10,5.975
