Date,StockCode,Close
2024-03-21,AALI,6850.0
2024-03-21,ABBA,50.0
2024-03-21,ABDA,5000.0
2024-03-21,ABMM,3760.0
2024-03-21,ACES,920.0
2024-03-21,ACRO,120.0
2024-03-21,ACST,137.0
2024-03-21,ADCP,51.0
2024-03-21,ADES,9700.0
2024-03-21,ADHI,308.0
2024-03-21,ADMF,13550.0
2024-03-21,ADMG,135.0
2024-03-21,ADMR,1320.0
2024-03-21,ADRO,2650.0
2024-03-21,AEGS,70.0
2024-03-21,AGAR,90.0
2024-03-21,AGII,1520.0
2024-03-21,AGRO,284.0
2024-03-21,AGRS,75.0
2024-03-21,AHAP,126.0
2024-03-21,AIMS,515.0
2024-03-21,AISA,131.0
2024-03-21,AKKU,50.0
2024-03-21,AKPI,705.0
2024-03-21,AKRA,1775.0
2024-03-21,AKSI,137.0
2024-03-21,ALDO,795.0
2024-03-21,ALII,440.0
2024-03-21,ALKA,430.0
2024-03-21,ALMI,103.0
2024-03-21,ALTO,50.0
2024-03-21,AMAG,308.0
2024-03-21,AMAN,114.0
2024-03-21,AMAR,250.0
2024-03-21,AMFG,5825.0
2024-03-21,AMIN,147.0
2024-03-21,AMMN,8850.0
2024-03-21,AMMS,32.0
2024-03-21,AMOR,970.0
2024-03-21,AMRT,2900.0
2024-03-21,ANDI,50.0
2024-03-21,ANJT,730.0
2024-03-21,ANTM,1700.0
2024-03-21,APEX,179.0
2024-03-21,APIC,1060.0
2024-03-21,APII,188.0
2024-03-21,APLI,590.0
2024-03-21,APLN,114.0
2024-03-21,ARCI,352.0
2024-03-21,ARGO,985.0
2024-03-21,ARII,288.0
2024-03-21,ARKA,50.0
2024-03-21,ARKO,1020.0
2024-03-21,ARMY,50.0
2024-03-21,ARNA,710.0
2024-03-21,ARTA,2720.0
2024-03-21,ARTI,4.0
2024-03-21,ARTO,2680.0
2024-03-21,ASBI,725.0
2024-03-21,ASDM,492.0
2024-03-21,ASGR,860.0
2024-03-21,ASHA,50.0
2024-03-21,ASII,5350.0
2024-03-21,ASJT,119.0
2024-03-21,ASLC,116.0
2024-03-21,ASLI,50.0
2024-03-21,ASMI,50.0
2024-03-21,ASPI,147.0
2024-03-21,ASRI,157.0
2024-03-21,ASRM,1545.0
2024-03-21,ASSA,815.0
2024-03-21,ATAP,50.0
2024-03-21,ATIC,380.0
2024-03-21,AUTO,2260.0
2024-03-21,AVIA,530.0
2024-03-21,AWAN,282.0
2024-03-21,AXIO,204.0
2024-03-21,AYAM,105.0
2024-03-21,AYLS,50.0
2024-03-21,BABP,51.0
2024-03-21,BABY,145.0
2024-03-21,BACA,130.0
2024-03-21,BAIK,89.0
2024-03-21,BAJA,107.0
2024-03-21,BALI,1010.0
2024-03-21,BANK,980.0
2024-03-21,BAPA,52.0
2024-03-21,BAPI,50.0
2024-03-21,BATA,101.0
2024-03-21,BAUT,50.0
2024-03-21,BAYU,1375.0
2024-03-21,BBCA,10125.0
2024-03-21,BBHI,1165.0
2024-03-21,BBKP,79.0
2024-03-21,BBLD,530.0
2024-03-21,BBMD,2010.0
2024-03-21,BBNI,5800.0
2024-03-21,BBRI,6100.0
2024-03-21,BBRM,67.0
2024-03-21,BBSI,4720.0
2024-03-21,BBSS,141.0
2024-03-21,BBTN,1425.0
2024-03-21,BBYB,280.0
2024-03-21,BCAP,50.0
2024-03-21,BCIC,109.0
2024-03-21,BCIP,54.0
