tanggal,harga
2020-01-01,unk
2020-01-02,1.495
2020-01-03,1.465
2020-01-04,unk
2020-01-05,unk
2020-01-06,1.465
2020-01-07,1.540
2020-01-08,1.505
2020-01-09,1.495
2020-01-10,1.550
2020-01-11,unk
2020-01-12,unk
2020-01-13,1.565
2020-01-14,1.560
2020-01-15,1.475
2020-01-16,1.470
2020-01-17,1.480
2020-01-18,unk
2020-01-19,unk
2020-01-20,1.435
2020-01-21,1.415
2020-01-22,1.365
2020-01-23,1.380
2020-01-24,1.380
2020-01-25,unk
2020-01-26,unk
2020-01-27,1.295
2020-01-28,1.325
2020-01-29,1.305
2020-01-30,1.295
2020-01-31,1.225
2020-02-01,unk
2020-02-02,unk
2020-02-03,1.225
2020-02-04,1.270
2020-02-05,1.315
2020-02-06,1.305
2020-02-07,1.305
2020-02-08,unk
2020-02-09,unk
2020-02-10,1.280
2020-02-11,1.315
2020-02-12,1.330
2020-02-13,1.350
2020-02-14,1.320
2020-02-15,unk
2020-02-16,unk
2020-02-17,1.320
2020-02-18,1.330
2020-02-19,1.305
2020-02-20,1.350
2020-02-21,1.310
2020-02-22,unk
2020-02-23,unk
2020-02-24,1.285
2020-02-25,1.285
2020-02-26,1.250
2020-02-27,1.165
2020-02-28,1.155
2020-02-29,unk
2020-03-01,unk
2020-03-02,unk
2020-03-03,1.140
2020-03-04,1.205
2020-03-05,1.175
2020-03-06,1.160
2020-03-07,unk
2020-03-08,unk
2020-03-09,1.010
2020-03-10,1.030
2020-03-11,unk
2020-03-12,830
2020-03-13,830
2020-03-14,unk
2020-03-15,unk
2020-03-16,775
2020-03-17,725
2020-03-18,690
2020-03-19,645
2020-03-20,745
2020-03-21,unk
2020-03-22,unk
2020-03-23,775
2020-03-24,850
2020-03-25,unk
2020-03-26,965
2020-03-27,990
2020-03-28,unk
2020-03-29,unk
2020-03-30,925
2020-03-31,990
2020-04-01,1.020
2020-04-02,1.040
2020-04-03,1.100
2020-04-04,unk
2020-04-05,unk
2020-04-06,1.150
2020-04-07,1.140
2020-04-08,1.065
2020-04-09,1.040
2020-04-10,unk
2020-04-11,unk
2020-04-12,unk
2020-04-13,1.040
2020-04-14,1.080
2020-04-15,1.045
2020-04-16,975
2020-04-17,1.035
2020-04-18,unk
2020-04-19,unk
2020-04-20,985
2020-04-21,930
2020-04-22,885
2020-04-23,905
2020-04-24,875
2020-04-25,unk
2020-04-26,unk
2020-04-27,900
2020-04-28,890
2020-04-29,885
2020-04-30,920
2020-05-01,unk
2020-05-02,unk
2020-05-03,unk
2020-05-04,890
2020-05-05,unk
2020-05-06,unk
2020-05-07,unk
2020-05-08,unk
2020-05-09,unk
2020-05-10,unk
2020-05-11,1.030
2020-05-12,1.005
2020-05-13,1.000
2020-05-14,945
2020-05-15,925
2020-05-16,unk
2020-05-17,unk
2020-05-18,1.020
2020-05-19,1.005
2020-05-20,980
2020-05-21,unk
2020-05-22,unk
2020-05-23,unk
2020-05-24,unk
2020-05-25,unk
2020-05-26,1.000
2020-05-27,1.000
2020-05-28,1.030
2020-05-29,1.100
2020-05-30,unk
2020-05-31,unk
2020-06-01,unk
2020-06-02,1.145
2020-06-03,unk
2020-06-04,1.120
2020-06-05,1.100
2020-06-06,unk
2020-06-07,unk
2020-06-08,1.160
2020-06-09,1.180
2020-06-10,1.100
2020-06-11,unk
2020-06-12,1.060
2020-06-13,unk
2020-06-14,unk
2020-06-15,1.020
2020-06-16,1.075
2020-06-17,1.070
2020-06-18,1.030
2020-06-19,1.040
2020-06-20,unk
2020-06-21,unk
2020-06-22,1.030
2020-06-23,1.005
2020-06-24,1.045
2020-06-25,1.005
2020-06-26,1.015
2020-06-27,unk
2020-06-28,unk
2020-06-29,1.005
2020-06-30,995
2020-07-01,1.045
2020-07-02,1.050
2020-07-03,1.040
2020-07-04,unk
2020-07-05,unk
2020-07-06,1.065
2020-07-07,1.050
2020-07-08,1.065
2020-07-09,1.095
2020-07-10,1.085
2020-07-11,unk
2020-07-12,unk
2020-07-13,1.155
2020-07-14,1.155
2020-07-15,1.130
2020-07-16,1.110
2020-07-17,1.155
2020-07-18,unk
2020-07-19,unk
2020-07-20,1.130
2020-07-21,1.135
2020-07-22,1.125
2020-07-23,1.130
2020-07-24,unk
2020-07-25,unk
2020-07-26,unk
2020-07-27,1.110
2020-07-28,1.090
2020-07-29,1.085
2020-07-30,1.085
2020-07-31,unk
2020-08-01,unk
2020-08-02,unk
2020-08-03,1.030
2020-08-04,1.035
2020-08-05,1.050
2020-08-06,1.115
2020-08-07,1.095
2020-08-08,unk
2020-08-09,unk
2020-08-10,1.140
2020-08-11,1.150
2020-08-12,1.120
2020-08-13,1.115
2020-08-14,1.115
2020-08-15,unk
2020-08-16,unk
2020-08-17,unk
2020-08-18,1.115
2020-08-19,1.115
2020-08-20,unk
2020-08-21,unk
2020-08-22,unk
2020-08-23,unk
2020-08-24,unk
2020-08-25,unk
2020-08-26,unk
2020-08-27,unk
2020-08-28,1.145
2020-08-29,unk
2020-08-30,unk
2020-08-31,1.085
2020-09-01,unk
2020-09-02,1.110
2020-09-03,1.215
2020-09-04,1.140
2020-09-05,1.205
2020-09-06,unk
2020-09-07,unk
2020-09-08,1.100
2020-09-09,1.200
2020-09-10,1.120
2020-09-11,1.180
2020-09-12,unk
2020-09-13,unk
2020-09-14,1.200
2020-09-15,1.190
2020-09-16,1.145
2020-09-17,1.130
2020-09-18,1.145
2020-09-19,unk
2020-09-20,unk
2020-09-21,1.145
2020-09-22,1.160
2020-09-23,1.160
2020-09-24,1.130
2020-09-25,1.140
2020-09-26,unk
2020-09-27,unk
2020-09-28,1.130
2020-09-29,1.165
2020-09-30,1.135
2020-10-01,1.180
2020-10-02,1.140
2020-10-03,unk
2020-10-04,unk
2020-10-05,1.125
2020-10-06,1.125
2020-10-07,1.130
2020-10-08,1.130
2020-10-09,1.115
2020-10-10,unk
2020-10-11,unk
2020-10-12,1.110
2020-10-13,1.150
2020-10-14,1.185
2020-10-15,1.155
2020-10-16,1.220
2020-10-17,unk
2020-10-18,unk
2020-10-19,1.220
2020-10-20,1.210
2020-10-21,1.200
2020-10-22,1.160
2020-10-23,1.145
2020-10-24,unk
2020-10-25,unk
2020-10-26,1.145
2020-10-27,1.125
2020-10-28,unk
2020-10-29,unk
2020-10-30,unk
2020-10-31,unk
2020-11-01,unk
2020-11-02,1.130
2020-11-03,1.145
2020-11-04,1.110
2020-11-05,1.140
2020-11-06,1.140
2020-11-07,unk
2020-11-08,unk
2020-11-09,1.130
2020-11-10,1.140
2020-11-11,1.205
2020-11-12,1.175
2020-11-13,1.165
2020-11-14,unk
2020-11-15,unk
2020-11-16,1.195
2020-11-17,unk
2020-11-18,1.190
2020-11-19,1.240
2020-11-20,1.215
2020-11-21,unk
2020-11-22,unk
2020-11-23,1.290
2020-11-24,unk
