tanggal,harga
2020-01-02,7.750
2020-01-03,7.725
2020-01-06,7.600
2020-01-07,7.600
2020-01-08,7.500
2020-01-09,7.700
2020-01-10,7.725
2020-01-13,7.725
2020-01-14,7.750
2020-01-15,7.650
2020-01-16,7.550
2020-01-17,7.725
2020-01-20,7.625
2020-01-21,7.700
2020-01-22,7.800
2020-01-23,7.775
2020-01-24,7.925
2020-01-27,7.725
2020-01-28,7.750
2020-01-29,7.800
2020-01-30,7.650
2020-01-31,7.550
2020-02-03,7.500
2020-02-04,7.525
2020-02-05,7.700
2020-02-06,7.700
2020-02-07,7.725
2020-02-10,7.725
2020-02-11,7.775
2020-02-12,7.800
2020-02-13,7.850
2020-02-14,7.825
2020-02-17,7.850
2020-02-18,7.825
2020-02-19,7.950
2020-02-20,8.000
2020-02-21,7.900
2020-02-24,7.775
2020-02-25,7.800
2020-02-26,7.650
2020-02-27,7.350
2020-02-28,7.275
2020-03-02,6.950
2020-03-03,7.200
2020-03-04,7.475
2020-03-05,7.600
2020-03-06,7.250
2020-03-09,6.575
2020-03-10,6.875
2020-03-11,6.825
2020-03-12,6.425
2020-03-13,6.350
2020-03-16,5.925
2020-03-17,5.525
2020-03-18,5.150
2020-03-19,4.790
2020-03-20,4.460
2020-03-23,4.150
2020-03-24,3.860
2020-03-26,4.470
2020-03-27,4.940
2020-03-30,4.600
2020-03-31,4.680
2020-04-01,4.610
2020-04-02,4.750
2020-04-03,5.025
2020-04-06,5.200
2020-04-07,5.125
2020-04-08,4.770
2020-04-09,4.670
2020-04-13,4.470
2020-04-14,4.570
2020-04-15,4.400
2020-04-16,4.210
2020-04-17,4.380
2020-04-20,4.370
2020-04-21,4.350
2020-04-22,4.490
2020-04-23,4.500
2020-04-24,4.280
2020-04-27,4.150
2020-04-28,4.150
2020-04-29,4.000
2020-04-30,4.460
2020-05-04,4.290
2020-05-05,4.220
2020-05-06,4.160
2020-05-08,4.200
2020-05-11,4.230
2020-05-12,4.010
2020-05-13,4.010
2020-05-14,3.950
2020-05-15,3.760
2020-05-18,3.720
2020-05-19,3.860
2020-05-20,4.070
2020-05-22,unk
2020-05-26,4.100
2020-05-27,4.110
2020-05-28,4.290
2020-05-29,4.470
2020-06-02,4.620
2020-06-03,4.860
2020-06-04,4.730
2020-06-05,4.850
2020-06-08,5.250
2020-06-09,5.275
2020-06-10,4.910
2020-06-11,4.690
2020-06-12,4.890
2020-06-15,unk
2020-06-16,5.025
2020-06-17,4.900
2020-06-18,4.820
2020-06-19,4.880
2020-06-22,4.810
2020-06-23,4.790
2020-06-24,5.150
2020-06-25,5.025
2020-06-26,5.000
2020-06-29,4.940
2020-06-30,4.950
2020-07-01,4.990
2020-07-02,5.000
2020-07-03,5.000
2020-07-06,5.075
2020-07-07,5.050
2020-07-08,5.275
2020-07-09,5.250
2020-07-10,4.720
2020-07-13,5.250
2020-07-14,5.175
2020-07-15,5.275
2020-07-16,5.275
2020-07-17,5.175
2020-07-20,5.100
2020-07-21,unk
2020-07-22,5.300
2020-07-23,5.700
2020-07-24,5.600
2020-07-27,5.425
2020-07-28,5.850
2020-07-29,5.875
2020-07-30,5.800
2020-08-03,5.500
2020-08-04,5.575
2020-08-05,5.700
2020-08-06,5.700
2020-08-07,unk
2020-08-10,5.800
2020-08-11,unk
2020-08-12,6.150
2020-08-13,6.050
2020-08-14,6.025
2020-08-18,6.150
2020-08-19,6.100
2020-08-21,unk
2020-08-24,6.000
2020-08-25,6.250
2020-08-26,6.350
2020-08-27,6.300
2020-08-28,unk
2020-08-31,5.950
2020-09-01,6.225
2020-09-02,6.075
2020-09-03,5.975
2020-09-04,5.925
2020-09-07,unk
2020-09-08,5.850
2020-09-09,5.775
2020-09-10,5.975
2020-09-11,5.475
2020-09-14,5.375
2020-09-15,5.675
2020-09-16,5.650
2020-09-17,5.575
2020-09-18,5.575
2020-09-21,5.750
2020-09-22,5.300
2020-09-23,5.475
2020-09-24,5.200
2020-09-25,5.350
2020-09-28,5.150
2020-09-29,5.075
2020-09-30,5.075
2020-10-01,4.960
2020-10-02,5.200
2020-10-05,5.350
2020-10-06,5.500
2020-10-07,5.550
2020-10-08,5.450
2020-10-09,5.550
2020-10-12,5.625
2020-10-13,5.675
2020-10-14,5.775
2020-10-15,5.600
2020-10-16,5.575
2020-10-19,5.700
2020-10-20,5.650
2020-10-21,5.525
2020-10-22,5.450
2020-10-23,5.550
2020-10-26,5.775
2020-10-27,5.775
2020-10-28,unk
2020-10-30,unk
2020-11-02,5.975
2020-11-03,6.000
2020-11-04,5.700
2020-11-05,5.975
2020-11-06,6.050
2020-11-09,6.150
2020-11-10,6.375
2020-11-11,6.375
2020-11-12,6.175
2020-11-13,6.250
2020-11-16,6.200
2020-11-17,6.250
2020-11-18,6.350
2020-11-19,6.325
2020-11-20,6.300
2020-11-23,6.400
2020-11-24,6.425
2020-11-25,6.525
2020-11-26,6.725
2020-11-27,6.650
2020-11-30,6.325
2020-12-01,6.525
2020-12-02,6.650
2020-12-03,6.575
2020-12-04,6.600
2020-12-07,6.700
2020-12-08,6.675
2020-12-10,6.800
2020-12-11,6.775
2020-12-14,6.725
2020-12-15,6.700
2020-12-16,6.775
2020-12-17,6.875
2020-12-18,6.700
2020-12-21,6.700
2020-12-22,6.400
2020-12-23,6.350
2020-12-24,unk
2020-12-28,6.525
2020-12-29,6.425
2020-12-30,6.325
2020-12-31,unk
2021-01-04,6.500
2021-01-05,6.425
2021-01-06,6.425
2021-01-07,6.475
2021-01-08,6.550
2021-01-11,6.850
2021-01-12,6.950
2021-01-13,6.925
2021-01-14,6.850
2021-01-15,6.725
2021-01-18,6.925
2021-01-19,6.975
2021-01-20,7.375
2021-01-21,7.250
2021-01-22,7.200
2021-01-25,7.300
2021-01-26,7.375
2021-01-27,7.300
2021-01-28,7.050
2021-01-29,6.575
2021-02-01,6.700
2021-02-02,6.475
2021-02-03,6.500
2021-02-04,6.575
2021-02-05,6.550
2021-02-08,6.575
2021-02-09,6.500
2021-02-10,6.500
2021-02-11,6.500
2021-02-15,6.500
2021-02-16,6.475
2021-02-17,6.350
2021-02-18,6.250
2021-02-19,6.375
2021-02-22,6.375
2021-02-23,6.325
2021-02-24,6.375
2021-02-25,6.275
2021-02-26,6.150
2021-03-01,6.575
2021-03-02,6.600
2021-03-03,6.600
2021-03-04,6.550
2021-03-05,6.475
2021-03-08,6.425
2021-03-09,6.425
2021-03-10,6.500
2021-03-12,6.725
2021-03-15,6.650
2021-03-16,6.550
2021-03-17,6.525
2021-03-18,6.800
2021-03-19,6.775
2021-03-22,6.625
2021-03-23,6.675
2021-03-24,6.425
2021-03-25,6.400
2021-03-26,unk
2021-03-29,unk
2021-03-30,6.325
2021-03-31,6.150
2021-04-01,6.200
2021-04-05,6.225
2021-04-06,6.275
2021-04-07,6.325
2021-04-08,6.275
2021-04-09,6.475
2021-04-12,6.300
2021-04-13,6.300
2021-04-14,6.425
2021-04-15,6.325
2021-04-16,6.300
2021-04-19,6.225
2021-04-20,6.200
2021-04-21,6.125
2021-04-22,6.125
2021-04-23,6.150
2021-04-26,5.975
2021-04-27,6.050
2021-04-28,6.200
2021-04-29,6.225
2021-04-30,6.175
2021-05-03,6.050
2021-05-04,6.100
2021-05-05,6.050
2021-05-06,6.075
2021-05-07,5.950
2021-05-10,5.975
2021-05-11,5.900
2021-05-12,unk
2021-05-17,5.925
2021-05-18,5.900
2021-05-19,5.675
2021-05-20,5.650
2021-05-21,5.825
